name,HA,HD,mw,lp,tpsa,rb,ha
CHEMBL186974,6,1,516.469000,7.106100,67.600000,9,35
CHEMBL1078608,7,5,452.580000,4.088900,113.320000,8,32
CHEMBL221674,9,4,552.679000,4.553000,120.080000,11,41
CHEMBL178329,5,1,432.351000,6.363740,58.370000,6,29
CHEMBL3319223,11,2,621.185000,3.159400,124.180000,8,41
CHEMBL378909,8,4,422.514000,2.671900,129.780000,5,30
CHEMBL428698,5,1,424.372000,5.339620,58.370000,6,28
CHEMBL2164498,6,2,481.811000,3.514520,64.680000,4,31
CHEMBL178137,8,1,394.431000,4.656720,101.510000,7,29
CHEMBL1080155,6,1,507.512000,5.720200,65.640000,4,37
CHEMBL1080939,6,1,458.949000,4.870000,69.300000,3,33
CHEMBL374919,7,4,542.687000,5.689000,101.620000,9,41
CHEMBL212761,8,6,420.517000,3.944800,128.180000,6,31
CHEMBL378438,8,5,426.480000,3.672100,129.040000,7,32
CHEMBL1082189,7,1,442.519000,4.426440,82.440000,3,33
CHEMBL250807,8,3,565.681000,6.491900,104.280000,9,43
CHEMBL444277,7,5,462.557000,5.185100,111.970000,8,35
CHEMBL221662,9,6,598.755000,5.887200,133.200000,11,45
CHEMBL2164509,6,3,433.339000,2.518920,73.470000,4,29
CHEMBL3797857,10,5,579.705000,3.983400,139.950000,13,43
CHEMBL3586031,10,2,542.592000,3.627800,111.250000,7,40
CHEMBL2164502,6,2,530.283000,4.638100,64.680000,5,33
CHEMBL205450,6,5,479.506000,5.655700,99.080000,8,35
CHEMBL2164827,6,2,433.339000,2.552700,64.680000,4,29
CHEMBL3218650,7,0,492.023000,4.569420,65.180000,7,35
CHEMBL184368,7,1,535.516000,5.586200,78.680000,9,36
CHEMBL365721,6,1,538.475000,7.540700,67.600000,10,37
CHEMBL204266,8,5,502.644000,3.955600,127.230000,9,36
CHEMBL203158,8,5,439.541000,3.175100,133.220000,6,31
CHEMBL178475,6,3,504.336000,4.035400,86.870000,7,33
CHEMBL407647,7,4,437.569000,3.878100,110.000000,8,31
CHEMBL3218906,8,0,526.685000,5.253520,78.070000,7,39
CHEMBL414930,9,3,595.707000,5.926100,113.510000,11,45
CHEMBL18815,9,6,514.630000,2.497200,130.910000,9,38
CHEMBL182154,6,1,458.345000,5.835220,75.440000,4,31
CHEMBL373993,8,5,455.566000,3.620700,117.410000,8,34
CHEMBL3218900,9,0,502.619000,3.708120,87.300000,8,37
CHEMBL3586026,10,2,513.554000,3.875600,108.760000,8,38
CHEMBL1077716,6,3,375.494000,4.189200,87.300000,9,26
CHEMBL2164506,7,2,530.239000,3.776200,81.750000,5,33
